54.79,2,2,0.704,-0.100,0.000
55.10,2,3,0.800,-0.100,0.000
56.40,1,0,0.740,-0.200,0.000
56.71,1,1,0.712,-0.200,0.000
57.02,1,2,0.900,0.000,0.000
57.33,1,3,0.704,-0.100,0.000
57.64,1,4,0.692,-0.100,0.000
57.94,2,0,0.584,0.000,0.000
58.25,2,1,0.588,0.000,0.000
58.56,2,2,0.704,-0.100,0.000
58.86,2,3,0.812,-0.100,0.000
60.17,1,0,0.748,-0.100,0.000
60.48,1,1,0.700,-0.200,0.000
60.79,1,2,0.884,0.000,0.000
61.09,1,3,0.696,0.000,0.000
61.40,1,4,0.676,-0.100,0.000
61.71,2,0,0.600,0.000,0.000
62.01,2,1,0.616,-0.100,0.000
62.32,2,2,0.724,-0.200,0.000
62.63,2,3,0.780,-0.100,0.000
63.93,1,0,0.724,-0.100,0.000
64.24,1,1,0.676,-0.100,0.000
64.55,1,2,0.860,-0.100,0.000
64.86,1,3,0.708,-0.100,0.000
65.16,1,4,0.672,-0.100,0.000
65.47,2,0,0.584,0.000,0.000
65.78,2,1,0.592,-0.100,0.000
66.08,2,2,0.720,-0.200,0.000
66.39,2,3,0.852,-0.100,0.000
67.70,1,0,0.728,-0.200,0.000
68.00,1,1,0.676,-0.200,0.000
68.31,1,2,0.868,0.000,0.000
68.62,1,3,0.704,-0.100,0.000
68.93,1,4,0.712,-0.100,0.000
69.23,2,0,0.608,-0.100,0.000
69.54,2,1,0.604,-0.100,0.000
69.85,2,2,0.704,-0.100,0.000
70.15,2,3,0.800,-0.100,0.000
71.46,1,0,0.740,-0.100,0.000
71.77,1,1,0.712,-0.200,0.000
72.07,1,2,0.876,0.000,0.000
72.38,1,3,0.708,-0.100,0.000
72.69,1,4,0.676,-0.100,0.000
73.00,2,0,0.588,0.000,0.000
73.30,2,1,0.600,0.000,0.000
73.61,2,2,0.724,-0.100,0.000
73.92,2,3,0.860,-0.100,0.000
75.22,1,0,0.724,-0.100,0.000
75.53,1,1,0.680,-0.200,0.000
75.84,1,2,0.864,0.000,0.000
76.14,1,3,0.712,-0.100,0.000
76.45,1,4,0.708,-0.100,0.000
76.76,2,0,0.612,0.000,0.000
77.07,2,1,0.616,-0.100,0.000
77.37,2,2,0.700,-0.100,0.000
77.68,2,3,0.792,-0.100,0.000
78.99,1,0,0.724,-0.100,0.000
79.30,1,1,0.684,-0.200,0.000
79.60,1,2,0.888,0.000,0.000
79.91,1,3,0.732,0.000,0.000
80.22,1,4,0.680,-0.100,0.000
80.52,2,0,0.608,-0.100,0.000
80.83,2,1,0.584,-0.100,0.000
81.13,2,2,0.700,-0.200,0.000
81.44,2,3,0.796,0.000,0.000
82.75,1,0,0.744,-0.200,0.000
83.05,1,1,0.692,-0.200,0.000
83.36,1,2,0.872,0.000,0.000
83.67,1,3,0.700,0.000,0.000
83.97,1,4,0.696,-0.100,0.000
84.28,2,0,0.608,-0.100,0.000
84.59,2,1,0.616,-0.100,0.000
84.89,2,2,0.704,-0.200,0.000
85.20,2,3,0.796,-0.100,0.000
86.51,1,0,0.732,-0.100,0.000
86.82,1,1,0.688,-0.200,0.000
87.12,1,2,0.888,0.000,0.000
87.43,1,3,0.704,-0.100,0.000
87.74,1,4,0.676,-0.100,0.000
88.04,2,0,0.588,0.000,0.000
88.35,2,1,0.624,-0.100,0.000
88.66,2,2,0.724,-0.100,0.000
88.96,2,3,0.804,-0.100,0.000
90.27,1,0,0.724,-0.100,0.000
90.58,1,1,0.692,-0.200,0.000
90.89,1,2,0.896,0.000,0.000
91.19,1,3,0.728,0.000,0.000
91.50,1,4,0.676,-0.100,0.000
91.80,2,0,0.592,0.000,0.000
92.11,2,1,0.620,-0.100,0.000
