43.25,2,2,0.956,-0.100,0.000
43.56,2,3,0.980,0.000,0.000
44.87,1,0,0.988,0.000,0.000
45.17,1,1,1.104,-0.100,0.000
45.48,1,2,0.740,0.000,0.000
45.79,1,3,0.432,-0.100,0.000
46.10,1,4,0.972,-0.100,0.000
46.40,2,0,0.972,-0.100,0.000
46.71,2,1,0.980,-0.100,0.000
47.01,2,2,0.988,-0.100,0.000
47.32,2,3,0.948,0.000,0.000
48.63,1,0,0.900,-0.100,0.000
48.94,1,1,1.044,-0.100,0.000
49.24,1,2,0.616,0.000,0.000
49.55,1,3,0.364,-0.100,0.000
49.86,1,4,0.956,-0.100,0.000
50.17,2,0,0.912,0.000,0.000
50.47,2,1,0.948,-0.100,0.000
50.78,2,2,0.964,-0.100,0.000
51.09,2,3,0.964,-0.100,0.000
52.39,1,0,0.888,0.000,0.000
52.70,1,1,1.020,-0.100,0.000
53.01,1,2,0.636,0.000,0.000
53.32,1,3,0.376,-0.100,0.000
53.63,1,4,0.968,-0.100,0.000
53.93,2,0,1.004,-0.100,0.000
54.24,2,1,0.988,0.000,0.000
54.54,2,2,0.924,0.000,0.000
54.85,2,3,0.868,-0.100,0.000
56.16,1,0,0.912,-0.100,0.000
56.47,1,1,1.084,-0.100,0.000
56.77,1,2,0.720,-0.100,0.000
57.08,1,3,0.416,-0.100,0.000
57.39,1,4,1.044,-0.100,0.000
57.70,2,0,1.016,0.000,0.000
58.00,2,1,0.912,-0.100,0.000
58.31,2,2,0.928,-0.100,0.000
58.62,2,3,0.920,0.000,0.000
59.92,1,0,0.988,0.000,0.000
60.23,1,1,1.052,0.000,0.000
60.53,1,2,0.620,-0.100,0.000
60.84,1,3,0.396,-0.100,0.000
61.15,1,4,1.040,-0.100,0.000
61.45,2,0,0.992,-0.100,0.000
61.76,2,1,0.976,-0.100,0.000
62.07,2,2,0.924,-0.100,0.000
62.38,2,3,0.880,0.000,0.000
63.68,1,0,0.920,-0.100,0.000
63.99,1,1,1.056,-0.100,0.000
64.30,1,2,0.704,0.000,0.000
64.61,1,3,0.436,-0.100,0.000
64.91,1,4,1.032,-0.100,0.000
65.22,2,0,1.028,0.000,0.000
65.53,2,1,0.968,-0.100,0.000
65.83,2,2,0.908,0.000,0.000
66.14,2,3,0.968,0.000,0.000
67.44,1,0,0.984,-0.100,0.000
67.75,1,1,1.072,0.000,0.000
68.06,1,2,0.684,0.000,0.000
68.36,1,3,0.428,-0.100,0.000
68.67,1,4,1.048,-0.100,0.000
68.98,2,0,1.040,-0.100,0.000
69.29,2,1,0.980,0.000,0.000
69.59,2,2,0.896,-0.100,0.000
69.90,2,3,0.876,0.000,0.000
71.21,1,0,0.980,-0.100,0.000
